FECHA,USDT
1/1/2024,7.8
1/2/2024,7.8
1/3/2024,7.82
1/4/2024,7.81
1/5/2024,7.83
1/6/2024,7.85
1/7/2024,7.85
1/8/2024,7.84
1/9/2024,7.86
1/10/2024,7.88
1/11/2024,7.91
1/12/2024,7.91
1/13/2024,7.91
1/14/2024,7.91
1/15/2024,7.91
1/16/2024,7.91
1/17/2024,7.91
1/18/2024,7.91
1/19/2024,7.91
1/20/2024,7.93
1/21/2024,7.88
1/22/2024,7.82
1/23/2024,7.88
1/24/2024,7.87
1/25/2024,7.91
1/26/2024,7.91
1/27/2024,7.86
1/28/2024,7.81
1/29/2024,7.85
1/30/2024,7.83
1/31/2024,7.84
2/1/2024,7.84
2/2/2024,7.92
2/3/2024,7.93
2/4/2024,7.92
2/5/2024,7.93
2/6/2024,7.98
2/7/2024,8.05
2/8/2024,8.17
2/9/2024,8.07
2/10/2024,7.98
2/11/2024,7.95
2/12/2024,7.91
2/13/2024,7.83
2/14/2024,7.98
2/15/2024,8.09
2/16/2024,8.33
2/17/2024,8.34
2/18/2024,8.37
2/19/2024,8.71
2/20/2024,8.55
2/21/2024,8.58
2/22/2024,8.4
2/23/2024,8.35
2/24/2024,7.97
2/25/2024,7.99
2/26/2024,8.2
2/27/2024,8.19
2/28/2024,8.18
2/29/2024,8.11
3/1/2024,8.12
3/2/2024,8.1
3/3/2024,8.08
3/4/2024,8.1
3/5/2024,8.12
3/6/2024,8.16
3/7/2024,8.28
3/8/2024,8.32
3/9/2024,8.24
3/10/2024,8.25
3/11/2024,8.21
3/12/2024,8.21
3/13/2024,8.21
3/14/2024,8.27
3/15/2024,8.25
3/16/2024,8.25
3/17/2024,8.24
3/18/2024,8.23
3/19/2024,8.31
3/20/2024,8.29
3/21/2024,8.3
3/22/2024,8.3
3/23/2024,8.29
3/24/2024,8.29
3/25/2024,8.27
3/26/2024,8.31
3/27/2024,8.31
3/28/2024,8.29
3/29/2024,8.27
3/30/2024,8.26
3/31/2024,8.27
4/1/2024,8.27
4/2/2024,8.29
4/3/2024,8.3
4/4/2024,8.3
4/5/2024,8.32
4/6/2024,8.32
4/7/2024,8.33
4/8/2024,8.33
4/9/2024,8.36
4/10/2024,8.37
4/11/2024,8.42
4/12/2024,8.47
4/13/2024,8.51
4/14/2024,8.49
4/15/2024,8.55
4/16/2024,8.55
4/17/2024,8.58
4/18/2024,8.54
4/19/2024,8.49
4/20/2024,8.49
4/21/2024,8.5
4/22/2024,8.48
4/23/2024,8.5
4/24/2024,8.57
4/25/2024,8.55
4/26/2024,8.55
4/27/2024,8.56
4/28/2024,8.55
4/29/2024,8.51
4/30/2024,8.52
5/1/2024,8.52
5/2/2024,8.49
5/3/2024,8.52
5/4/2024,8.54
5/5/2024,8.58
5/6/2024,8.55
5/7/2024,8.57
5/8/2024,8.58
5/9/2024,8.64
5/10/2024,8.67
5/11/2024,8.79
5/12/2024,8.87
5/13/2024,8.77
5/14/2024,8.74
5/15/2024,8.76
5/16/2024,8.84
5/17/2024,8.89
5/18/2024,8.87
5/19/2024,8.86
5/20/2024,8.79
5/21/2024,8.79
5/22/2024,8.77
5/23/2024,8.79
5/24/2024,8.78
5/25/2024,8.79
5/26/2024,8.77
5/27/2024,8.78
5/28/2024,8.76
5/29/2024,8.75
5/30/2024,8.75
5/31/2024,8.73
6/1/2024,8.68
6/2/2024,8.72
6/3/2024,8.7
6/4/2024,8.69
6/5/2024,8.75
6/6/2024,8.74
6/7/2024,8.85
6/8/2024,8.83
6/9/2024,8.82
6/10/2024,8.86
6/11/2024,8.9
6/12/2024,8.93
6/13/2024,8.97
6/14/2024,9.06
6/15/2024,9.02
6/16/2024,8.96
6/17/2024,8.96
6/18/2024,9.04
6/19/2024,9.01
6/20/2024,9.02
6/21/2024,9.02
6/22/2024,9.02
6/23/2024,9.03
6/24/2024,9.03
6/25/2024,9.11
6/26/2024,9.16
6/27/2024,9.27
6/28/2024,9.26
6/29/2024,9.21
6/30/2024,9.22
7/1/2024,9.16
7/2/2024,9.27
7/3/2024,9.45
7/4/2024,9.64
7/5/2024,9.81
7/6/2024,9.93
7/7/2024,9.84
7/8/2024,9.89
7/9/2024,9.86
7/10/2024,9.91
7/11/2024,9.99
7/12/2024,10.22
7/13/2024,10.15
7/14/2024,10.15
7/15/2024,10.07
7/16/2024,10.08
7/17/2024,10.07
7/18/2024,10.08
7/19/2024,10.11
7/20/2024,10.16
7/21/2024,10.13
7/22/2024,10.14
7/23/2024,10.17
7/24/2024,10.43
7/25/2024,10.71
7/26/2024,11.35
7/27/2024,11.22
7/28/2024,11.26
7/29/2024,11.2
7/30/2024,11.86
7/31/2024,13.35
8/1/2024,13.5
8/2/2024,13.35
8/3/2024,13.2
8/4/2024,13.18
8/5/2024,13.07
8/6/2024,12.6
8/7/2024,12.64
8/8/2024,11.23
8/9/2024,11.22
8/10/2024,11.23
8/11/2024,11
8/12/2024,10.9
8/13/2024,10.83
8/14/2024,10.92
8/15/2024,10.92
8/16/2024,10.97
8/17/2024,11.06
8/18/2024,11.06
8/19/2024,11.06
8/20/2024,11.08
8/21/2024,11.04
8/22/2024,10.98
8/23/2024,10.86
8/24/2024,10.85
8/25/2024,10.83
8/26/2024,10.84
8/27/2024,10.95
8/28/2024,11.03
8/29/2024,11.03
8/30/2024,10.95
8/31/2024,10.76
